Date,Price,Ticker
2022-02-07,200.81,TGT
2022-02-08,197.4,TGT
2022-02-09,201.05,TGT
2022-02-10,200.48,TGT
2022-02-11,200.28,TGT
2022-02-14,197.5,TGT
2022-02-15,196.6,TGT
2022-02-16,194.31,TGT
2022-02-17,194.04,TGT
2022-02-18,192.09,TGT
2022-02-22,190.32,TGT
2022-02-23,184.93,TGT
2022-02-24,173.28,TGT
2022-02-25,179.87,TGT
2022-02-28,185.37,TGT
2022-03-01,213.05,TGT
2022-03-02,208.51,TGT
2022-03-03,212.38,TGT
2022-03-04,209.19,TGT
2022-03-07,210.48,TGT
2022-03-08,198.39,TGT
2022-03-09,200.73,TGT
2022-03-10,200.62,TGT
2022-03-11,202.55,TGT
2022-03-14,195.56,TGT
2022-03-15,197.72,TGT
2022-03-16,203.75,TGT
2022-03-17,201.93,TGT
2022-03-18,205.59,TGT
2022-03-21,212.29,TGT
2022-03-22,210.12,TGT
2022-03-23,208.76,TGT
2022-03-24,203.84,TGT
2022-03-25,204.8,TGT
2022-03-28,204.81,TGT
2022-03-29,208.51,TGT
2022-03-30,208.2,TGT
2022-03-31,205.06,TGT
2022-04-01,200.36,TGT
2022-04-04,197.42,TGT
2022-04-05,200.52,TGT
2022-04-06,198.81,TGT
2022-04-07,205.69,TGT
2022-04-08,218.84,TGT
2022-04-11,219.08,TGT
2022-04-12,218.18,TGT
2022-04-13,216.3,TGT
2022-04-14,219.7,TGT
2022-04-18,221.23,TGT
2022-04-19,225.71,TGT
2022-04-20,233.51,TGT
2022-04-21,235.61,TGT
2022-04-22,231.57,TGT
2022-04-25,225.41,TGT
2022-04-26,225.0,TGT
2022-04-27,222.08,TGT
2022-04-28,220.18,TGT
2022-04-29,220.24,TGT
2022-05-02,216.16,TGT
2022-05-03,217.0,TGT
2022-05-04,217.76,TGT
2022-05-05,221.29,TGT
2022-05-06,212.13,TGT
2022-05-09,209.64,TGT
2022-05-10,212.82,TGT
2022-05-11,206.07,TGT
2022-05-12,200.39,TGT
2022-05-13,206.62,TGT
2022-05-16,206.73,TGT
2022-05-17,198.65,TGT
2022-05-18,153.79,TGT
2022-05-19,152.09,TGT
2022-05-20,144.88,TGT
2022-05-23,146.17,TGT
2022-05-24,142.96,TGT
2022-05-25,141.69,TGT
2022-05-26,148.99,TGT
2022-05-27,153.95,TGT
2022-05-31,157.04,TGT
2022-06-01,152.67,TGT
2022-06-02,147.65,TGT
2022-06-03,150.13,TGT
2022-06-06,152.22,TGT
2022-06-07,139.58,TGT
2022-06-08,145.64,TGT
2022-06-09,147.83,TGT
2022-06-10,142.89,TGT
2022-06-13,138.19,TGT
2022-06-14,136.64,TGT
2022-06-15,134.41,TGT
2022-06-16,136.67,TGT
2022-06-17,133.05,TGT
2022-06-21,133.5,TGT
2022-06-22,135.04,TGT
2022-06-23,133.75,TGT
2022-06-24,138.8,TGT
2022-06-27,142.56,TGT
2022-06-28,141.88,TGT
2022-06-29,136.0,TGT
2022-06-30,132.2,TGT
2022-07-01,132.75,TGT
2022-07-05,133.36,TGT
2022-07-06,137.18,TGT
2022-07-07,137.49,TGT
2022-07-08,141.36,TGT
2022-07-11,139.57,TGT
2022-07-12,138.32,TGT
2022-07-13,134.54,TGT
2022-07-14,135.37,TGT
2022-07-15,139.5,TGT
2022-07-18,140.1,TGT
2022-07-19,142.74,TGT
2022-07-20,145.05,TGT
2022-07-21,147.58,TGT
2022-07-22,150.28,TGT
2022-07-25,149.39,TGT
2022-07-26,141.21,TGT
